305,500,20,800,1000,700,650,50,700,900,100,500,175
483,500,20,800,1000,700,650,50,700,900,100,500,175
336,500,20,800,1000,700,650,50,700,900,100,500,175
316,500,20,800,1000,700,650,50,700,900,100,500,175
313,500,20,800,1000,700,650,50,700,900,100,500,175
410,500,20,800,1000,700,650,50,700,900,100,500,175
437,500,20,800,1000,700,650,50,700,900,100,500,175
422,500,20,800,1000,700,650,50,700,900,100,500,175
430,500,20,800,1000,700,650,50,700,900,100,500,175
287,500,20,800,1000,700,650,50,700,900,100,500,175
564,500,20,800,1000,700,650,50,700,900,100,500,175
425,500,20,800,1000,700,650,50,700,900,100,500,175
559,5000,20,800,1000,700,650,50,700,900,100,500,175
794,5000,20,800,1000,700,650,50,700,900,100,500,1750
928,5000,20,800,1000,700,650,100,700,900,100,500,1750
1064,5000,30,800,1000,700,650,100,700,900,100,500,1750
621,5000,30,800,1000,700,650,100,700,900,100,500,1750
807,5000,30,800,1000,700,650,100,700,900,100,500,1750
730,5000,30,800,1000,700,650,100,700,900,100,500,1750
1147,5000,30,800,1000,700,650,100,700,900,100,500,1750
1028,5000,30,800,1000,700,650,100,700,900,100,500,1750
676,5000,30,800,1000,700,650,100,700,900,100,500,1750
626,5000,30,800,1000,700,650,100,700,900,100,500,1750
657,5000,30,800,1000,700,650,100,700,900,100,500,1750
1173,5000,30,800,1000,700,650,100,700,900,100,500,1750
1024,5000,30,800,1000,700,650,100,700,900,100,500,1750
974,5000,30,800,1000,700,650,100,700,900,100,500,1750
1576,5000,200,800,1000,700,650,500,700,900,100,500,1750
1491,5000,200,800,1000,700,650,500,700,900,100,500,1750
2065,5000,200,800,1000,700,650,500,700,900,100,500,1750
1452,5000,200,800,1000,700,650,500,700,900,100,500,1750
1753,5000,200,800,1000,700,650,500,700,900,100,500,1750
1884,5000,200,800,1000,700,650,500,700,900,100,500,2500
